a little	một chút
god	thần, chúa
gold	vàng; bằng vàng
good	tốt, hay, tuyệt; điều tốt, điều thiện
good at	tiến bộ ở
good for	có lợi cho
good, well	tốt, khỏe
goodbye exclamation,	tạm biệt; lời chào tạm biệt
goods	của cải, tài sản, hàng hóa
govern	cai trị, thống trị, cầm quyền
government	chính phủ, nội các; sự cai trị
governor	thủ lĩnh, chủ; kẻ thống trị
grab	túm lấy, vồ, chộp lấy
grade	điểm, điểm số; phân loại, xếp loại
grade	cấp (của bê tông, của …)
grade of concrete	cấp của bê tông
grade of reinforcement	cấp của cốt thép
gradual	dần dần, từng bước một
gradually	dần dần, từ từ
gradually applied load 	sự chất tải tăng dần 
grain	thóc lúa, hạt, hột; tính chất, bản chất
gram	đậu xanh
grammar	văn phạm
grand	rộng lớn, vĩ đại
grandchild	cháu
granddaughter	cháu gái
grandfather	ông
grandmother	bà
grandparent	ông bà
grandson	cháu trai
granolithic concrete 	bê tông granit
grant	cho, ban, cấp; sự cho, sự ban, sự cấp
grass	cỏ; bãi cỏ, đồng cỏ
grateful	biết ơn, dễ chịu, khoan khoái
grating beam 	dầm ghi lò 
grave	mộ, dấu huyền; trang nghiêm, nghiêm trọng
gravity load 	tải trọng bản thân, tự trọng 
gray	xám, hoa râm
great	to, lớn, vĩ đại
greatly	rất, lắm; cao thượng, cao cả
green	xanh lá cây
green concrete 	bê tông mới đổ 
green test	sự thử chạy rà 
grey	xám, hoa râm
grillage reinforcement 	cốt (thép) lưới sợi 
grinding test	sự thử khả năng gia công bằng mài, sự thử bằng mài 
groceries	hàng tạp hóa
grocery	cửa hàng tạp phẩm
gross load 	tải trọng tổng, tải trọng toàn phần 
ground	mặt đất, đất, bãi đất
ground anchor	neo (vào) đất 
ground floor (hoặc first floor nếu là tiếng anh mỹ) 	tầng trệt (tiếng nam), tầng một (tiếng bắc)
group	nhóm
grouting	phun vữa lấp lòng ống chứa cốt thép dự ứng lực
grow	mọc, mọc lên
grow up	lớn lên, trưởng thành
growth	sự lớn lên, sự phát triển
guarantee	sự bảo hành, bảo lãnh, người bảo lãnh; cam đoan, bảo đảm
guard	cái chắn, người bảo vệ; bảo vệ, gác, canh giữ
guard board 	tấm chắn, tấm bảo vệ
guess	đoán, phỏng đoán; sự đoán, sự ước chừng
guest	khách, khách mời
guide	điều chỉ dẫn, người hướng dẫn; dẫn đường, chỉ đường
guilty	có tội, phạm tội, tội lỗi
gun	súng
gunned concrete 	bê tông phun 
gusset plate	bản nút, bản tiết điểm
gust load 	(hàng không) tải trọng khi gió giật 
guy	bù nhìn, anh chàng, gã
gypsum concrete 	bê tông thạch cao 
h- beam 	dầm chữ h 
habit	thói quen, tập quán
hair	tóc
hairdresser	thợ làm tóc
half	một nửa, phần chia đôi, nửa giờ; nửa
half- beam 	dầm nửa 
half-latticed girder 	giàn nửa mắt cáo 
hall	đại sảnh, tòa , hội trường
hammer	búa
hammer beam 	dầm hẫng, dầm chìa, dầm công xôn 
hand	tay, bàn tay; trao tay, truyền cho
hand rail	lan can
handle	treo, mắc
hanging beam 	dầm treo 
hanging test	sự thử kéo đứt bằng treo 
happen	xảy ra, xảy đến
happily	sung sướng, hạnh phúc
happiness	sự sung sướng, hạnh phúc
happy	vui sướng, hạnh phúc
hard	cứng, rắn, hà khắc; hết sức cố gắng, tích cực
hard rock concrete 	bê tông (cốt liệu) đá cứng 
hard steel	thép cứng
hardenet concrete 	bê tông đã đông cứng 
hardly	khắc nghiệt, nghiêm khắc, tàn tệ, khó khăn
hardness test	sự thử độ cứng 
harm	thiệt hại, tổn hao; làm hại, gây thiệt hại
harmful	gây tai hại, có hại
harmless	không có hại
hat	cái mũ
hate	ghét; lòng căm ghét, thù hận
hatred	lòng căm thì, sự căm ghét
have auxiliary	có
have to modal	phải
haydite concrete 	bê tông keramit 
hdpe sheath	vỏ bọc polyetylen mật độ cao của cáp dự 
he	nó, anh ấy, ông ấy
head	cái đầu ; chỉ huy, lãnh đại, dẫn đầu
head beam 	dầm mũ cọc 
headache	chứng nhức đầu
heading bond 	cách xây hàng ngang (gạch xây ngang)
heading course 	hàng, lớp xây ngang
heal	chữa khỏi, làm lành
health	sức khỏe, thể chất, sự lành mạnh
healthy	khỏe mạnh, lành mạnh
heaped concrete 	bê tông chưa đầm
hear	nghe
hearing	sự nghe, thính giác
heart	tim, trái tim
heat	hơi nóng, sức nóng
heat load 	tải trọng do nhiệt 
heat test	sự thử bằng nung nóng 
heat-resistant concrete 	bê tông chịu nhiệt 
heating	sự đốt nóng, sự làm nóng
heaven	thiên đường
heavily	nặng, nặng nề
heavy	nặng, nặng nề
heavy concrete 	bê tông nặng 
heavy weight concrete	bê tông nặng
heel	gót chân
height	chiều cao, độ cao; đỉnh, điểm cao
helical reinforcement 	cốt (thép) xoắn 
hell	địa ngục
hello	chào, xin chào; lời chào
help	giúp đỡ; sự giúp đỡ
helpful	có ích; giúp đỡ
hence	sau đây, kể từ đây; do đó, vì thế
her	nó, chị ấy, cô ấy, bà ấy
here	đây, ở đây
hero	người anh hùng
hers	cái của nó, cái của cô ấy, cái của chị ấy, cái của bà ấy
herself	chính nó, chính cô ta, chính chị ta, chính bà ta
hesitate	ngập ngừng, do dự
hi	xin chào
hide	trốn, ẩn nấp; che giấu
high	cao, ở mức độ cao
high beam 	đèn rọi xa, chùm sáng rọi xa 
high slump concrete 	bê tông chảy 
high strength concrete	bê tông cường độ cao
high strength steel	thép cường độ cao
high strength steel	thép cường độ cao
high tech work technique	công trình kỹ thuật cao
high tensile steel	thép cường độ cao
high yield steel	thép đàn hồi cao
high-strength material	vật liệu cường độ cao
highest flood level	mức nước lũ cao nhất
highlight	làm nổi bật, nêu bật; chỗ nổi bật nhất, đẹp, sáng nhất
highly	tốt, cao; hết sức, ở mức độ cao
hight density	ống bằng polyetylen mật độ cao
highway	đường quốc lộ
hill	đồi
him	nó, hắn, ông ấy, anh ấy
himself	chính nó, chính hắn, chính ông ta, chính anh ta
hinged beam 	dầm đòn gánh, dầm quay quanh bản lề ở giữa 
hinged cantilever girder 	dầm đỡ - ghép bản lề 
hinged girder 	dầm ghép bản lề 
hip	hông
hire	thuê, cho thuê ; sự thuê, sự cho thuê
his	của nó, của hắn, của ông ấy, của anh ấy; cái của nó, cái của hắn, cái của ông ấy, cái của anh ấy
historical	lịch sử, thuộc lịch sử
history	lịch sử, sử học
hit	đánh, đấm, ném trúng; đòn, cú đấm
hoanloose	lỏng, không chặt
hobby	sở thích riêng
hoever	ai, người nào, bất cứ ai, bất cứ người nào, dù ai
hold	cầm, nắm, giữ; sự cầm, sự nắm giữ
hold beam 	dầm khô (dầm tàu ở chỗ khô) 
hole	lỗ, lỗ trống; hang
hole	lỗ thủng, lỗ khoan
holiday	ngày lễ, ngày nghỉ
hollow	rỗng, trống rỗng
hollow block wall 	tường xây bằng gạch lỗ (gạch rỗng)
hollow section	thép hình rỗng
holy	linh thiêng; sùng đạo
home	nhà; ở tại nhà, nước mình
homework	bài tập về nhà , công việc làm ở nhà
honest	lương thiện, trung thực, chân thật
honestly	lương thiện, trung thực, chân thật
honour	danh dự, thanh danh, lòng kính trọng
hook	cái móc; bản lề; lưỡi câu
hook	móc câu (ở đầu cốt thép)
hoop reinforcement	cốt thép đặt theo vòng tròn
hooped concrete 	bê tông cốt thép vòng 
hope	hy vọng; nguồn hy vọng
horn	sừng
horror	điều kinh khủng, sự ghê rợn
horse	ngựa
hose (hosepipe) 	ống nước - chú thích ở đây là loại ống mềm như dạng ống nhựa dùng để rửa xe ấy
hospital	bệnh viện, nhà thương
host	chủ nhà, chủ tiệc; dẫn
hot	nóng, nóng bức
hot rolled steel	thép cán nóng
hot test	sự thử bằng nung nóng 
hot-bending test	sự thử uốn nóng 
hot-laid asphaltic conc.	bê tông atphan đúc nóng 
hot-load test	sự thử tải nhiệt (sự thử độ chịu nhiệt khi có tải) 
hot-mixed asphaltic conc	bê tông atphan trộn nóng 
hotel	khách sạn
hour	giờ
house	nhà, căn nhà, toàn nhà
household	hộ, gia đình;  gia đình
housing	nơi ăn chốn ở
how	thế nào, như thế nào, làm sao, ra sao
however	tuy nhiên, tuy vậy, dù thế nào
huge	to lớn, khổng lồ
human	con người, loài người
humorous	hài hước, hóm hỉnh
humour	sự hài hước, sự hóm hỉnh
hungry	đó
hunt	săn, đi săn
hunting	sự đi săn
hurry	sự vội vàng, sự gấp rút
hurt	làm bị thương, gây thiệt hại
husband	người chồng
hydraulic concrete	bê tông thủy công
hydraulic test	sự thử thủy lực 
hydrostatic test	sự thử thủy tĩnh 
i- beam 	dầm chữ i 
i- girder 	dầm chữ i 
ice	băng, nước đá
ice cream	kem
idea	ý tưởng, quan niệm
ideal	quan niệm, tư tưởng; lý tưởng
ideally	lý tưởng, đúng như lý tưởng
identify	nhận biết, nhận ra, nhận dạng
identifying defects 	phát hiện sai sót
identity	cá tính, nét nhận dạng; tính đồng nhất, giống hệt
if	nếu, nếu như
ignore	phớt lờ, tỏ ra không biết đến
ill	ốm
illegal	trái luật, bất hợp pháp
illegally	trái luật, bất hợp pháp
illness	sự đau yếu, ốm, bệnh tật
illustrate	minh họa, làm rõ ý
image	ảnh, hình ảnh
imaginary	tưởng tượng, ảo
imagination	trí tưởng tượng, sự tưởng tượng
imagine	tưởng tượng, hình dung; tưởng rằng, cho rằng
immediate	lập tức, tức thì
immediately	ngay lập tức
immoral	trái đạo đức, luân lý; xấu xa
impact	sự và chạm, sự tác động, ảnh hưởng
impact bend test	sự thử uốn va đập 
impact compression test	sự thử nén va đập 
impact endurance test	sự thử độ bền va đập 
impact hardness test	sự thử độ cứng va đập 
impact load 	tải trọng va đập 
impact strength 	lực chống va đập
impact test	sự thử va đập, sự thử dát 
impatient	thiếu kiên nhẫn, nóng vội
impatiently	nóng lòng, sốt ruột
implication	sự lôi kéo, sự liên can, điều gợi ý
imply	ngụ ý, bao hàm
import	sự nhập, sự nhập khẩu; nhập, nhập khẩu
importance	sự quan trọng, tầm quan trọng
important	quan trọng, hệ trọng
importantly	quan trọng, trọng yếu
impose	đánh , bắt gánh vác; đánh tráo, lợi dụng
imposed load 	tải trọng đặt vào 
impossible	không thể làm được, không thể xảy ra
impress	ghi, khắc, in sâu vào; gây ấn tượng, làm cảm động
impressed	được ghi, khắc, in sâu vào
impression	ấn tượng, cảm giác; sự in, đóng dấu
impressive	gấy ấn tượng mạnh; hùng vĩ, oai vệ
improve	cải thiện, cái tiến, mở mang
improvement	sự cái thiện, sự cải tiến, sự mở mang
impulse test	sự thử bằng xung 
impulsive load 	tải trọng va đập, tải trọng xung 
in	ở, tại, trong; vào
in addition	thêm vào
in advance	trước, sớm
in case	nếu......
in charge of	phụ trách
in common	sự chung, của chung
in exchange	trong việc trao đổi về
in favour/favor	ủng hộ cái gì
in front	ở phía trước
in general	nói chung, đại khái
in memory of	sự tưởng nhớ
in order to	hợp lệ
in public	giữa công chúng, công khai
in spite of	mặc dù, bất chấp
in the end	cuối cùng, về sau
in-situ concrete 	bê tông đổ tại chỗ
in-situ material test	sự thử nghiệm vật liệu tại hiện trường 
inability	sự bất lực, bất tài
inch	insơ
incident	việc xảy ra, việc có liên quan
inclined bar	cốt thép nghiêng
include	bao gồm, tính cả
including	bao gồm, kể cả
income	lợi tức, thu nhập
incompletely compacted c	bê tông đầm chưa đủ
increase	tăng, tăng thêm; sự tăng, sự tăng thêm
increasingly	tăng thêm
increment load 	tải trọng phụ 
indeed	thật vậy, quả thật
indemnities 	bồi thường
independence	sự độc lập, nền độc lập
independent	độc lập
independent girder 	dầm phụ, dầm rồi 
independently	độc lập
index	chỉ số, sự biểu thị
indicate	chỉ, cho biết; biểu thị, trình bày ngắn gọn
indication	sự chỉ, sự biểu thị, sự biểu lộ
indirect	gián tiếp
indirectly	gián tiếp
individual	riêng, riêng biệt; cá nhân
indivisible load 	tải trọng không chia nhỏ được 
indoor	trong nhà
indoors	ở trong nhà
inductive load 	tải trọng cảm ứng 
industrial	công nghiệp, kỹ nghệ
industry	công nghiệp, kỹ nghệ
inevitable	không thể tránh được, chắc chắn xảy ra; vẫn thường thấy, nghe
inevitably	chắc chắn
infect	nhiễm, tiêm nhiễm, đầu độc, lan truyền
infected	bị nhiễm, bị đầu độc
infection	sự nhiễm, sự đầu độc
infectious	lây, nhiễm
influence	sự ảnh hưởng, sự tác dụng; ảnh hưởng, tác động
inform	báo cho biết, cung cấp tin tức
informal	không chính thức, không nghi thức
information	tin tức, tài liệu, kiến thức
ingredient	phần hợp thành, thành phần
